MeterID,Name,Totalflow,Col_Order,IsActive,READINGTYPE,ITEM,Statutory,Description,MeterType,MeterNo,MasterStationID,Date_Time,UOMID,GroupID,Level,Formula,FlowRate,MaxReading,Prefix,ActualFormula,SlaveID,FlowRate_Current
215,COMPRESSOR-8,195143.375,3060,1,Auto,Energy,0,COMPRESSOR-8,81,NULL,NULL,06-02-2025 15:34,6,18,1,NULL,999999,99999999,A,NULL,NULL,-1
216,COMPRESSOR-9,153385.8594,3070,1,Auto,Energy,0,COMPRESSOR-9,81,NULL,NULL,06-02-2025 08:34,6,18,1,NULL,999999,99999999,A,NULL,NULL,-1
217,ETP RO PANEL (PRINTING),42833.7188,3240,1,Auto,Energy,0,ETP RO PANEL (PRINTING),81,NULL,NULL,19-02-2025 14:58,6,18,1,NULL,999999,99999999,A,NULL,NULL,-1
218,ETP PANEL (PRINTING),19341.6758,3250,1,Auto,Energy,0,ETP PANEL (PRINTING),181,NULL,NULL,19-02-2025 14:58,6,18,1,NULL,999999,99999999,A,NULL,NULL,-1
219,ETP DOSING (PRINTING),53285.4,3260,1,Auto,Energy,0,ETP DOSING (PRINTING),181,NULL,NULL,27-09-2024 06:40,6,18,1,NULL,999999,99999999,A,NULL,NULL,-1
220,GAS PLANT,45548.8555,175,1,Auto,Energy,0,GAS PLANT,81,NULL,NULL,19-02-2025 14:58,6,6,1,NULL,999999,99999999,A,NULL,NULL,-1
221,ZIMMER ROTARY,257056.8594,3110,1,Auto,Energy,0,ZIMMER ROTARY,81,NULL,NULL,16-11-2024 09:47,6,18,1,NULL,999999,99999999,A,NULL,NULL,-1
222,PRINTING OFFICE,1207067.25,3022,1,Auto,Energy,0,PRINTING OFFICE,81,NULL,NULL,05-01-2025 10:28,6,18,1,NULL,999999,99999999,A,NULL,NULL,-1
223,SSB-28,1976579,3040,1,Auto,Energy,0,SSB-28,81,NULL,NULL,19-02-2025 13:40,6,18,1,NULL,999999,99999999,A,NULL,NULL,-1
224,MCC-1 (PRINTING),73997.9922,3230,1,Auto,Energy,0,MCC-1 (PRINTING),181,NULL,NULL,19-02-2025 13:40,6,18,1,NULL,999999,99999999,A,NULL,NULL,-1
225,CURING-2,26984.2578,3150,1,Auto,Energy,0,CURING-2,81,NULL,NULL,19-02-2025 13:40,6,18,1,NULL,999999,99999999,A,NULL,NULL,-1
226,MHM-4 FLASH LIGHT,112882.1953,3180,1,Auto,Energy,0,MHM-4 FLASH LIGHT,81,NULL,NULL,05-01-2025 10:28,6,18,1,NULL,999999,99999999,A,NULL,NULL,-1
227,MHM-5 FLASH LIGHT,92645.7344,3190,1,Auto,Energy,0,MHM-5 FLASH LIGHT,81,NULL,NULL,05-01-2025 10:28,6,18,1,NULL,999999,99999999,A,NULL,NULL,-1
228,MHM GAS CURING-2,34990.8164,3210,1,Auto,Energy,0,MHM GAS CURING-2,81,NULL,NULL,12-11-2024 15:44,6,18,1,NULL,999999,99999999,A,NULL,NULL,-1
229,CURING-1,22100.5117,3140,1,Auto,Energy,0,CURING-1,81,NULL,NULL,19-02-2025 14:40,6,18,1,NULL,999999,99999999,A,NULL,NULL,-1
230,MF PLANT (PRINTING),3124.5081,3220,1,Auto,Energy,0,MF PLANT (PRINTING),81,NULL,NULL,19-02-2025 14:40,6,18,1,NULL,999999,99999999,A,NULL,NULL,-1
